artist,track,album,release_date,genres,length,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
Various Artists,In Blue,MOOMINVALLEY (Official Soundtrack),2019-04-19,[],294021.0,53.0,0.578,0.456,0.0,-10.155,1.0,0.0243,0.168,0.00306,0.202,0.276,96.979,4.0
Various Artists,See You Space Cowboys Not Final Mountain Root,COWBOY BEBOP (Original Motion Picture Soundtrack 3 - Blue),1999-05-01,[],355866.0,35.0,0.489,0.695,4.0,-9.893,0.0,0.0311,0.00015,0.221,0.0935,0.574,80.499,4.0
Gustaf Grefberg,A Way Out,A Way Out (Original Game Soundtrack),2020-02-05,[],210859.0,16.0,0.231,0.241,9.0,-15.071,0.0,0.0331,0.78,0.943,0.0962,0.062,56.02,3.0
Foreign Fields,Don’t Give Up - Renewed,Light On Your Face (Renewed) / Don’t Give Up (Renewed),2020-08-06,"['ambient folk', 'chamber pop', 'indie anthem-folk']",412626.0,41.0,0.625,0.259,0.0,-16.307000000000002,0.0,0.0849,0.168,0.6859999999999999,0.111,0.14300000000000002,123.063,4.0
Various Artists,Ramona,Scott Pilgrim vs. the World (Original Motion Picture Soundtrack),2010-01-01,[],261506.0,48.0,0.413,0.565,9.0,-7.2,0.0,0.0288,0.0359,0.768,0.139,0.341,123.044,4.0
Jeff Beal,Grooming Russo To Run,House Of Cards (Music From The Netflix Original Series),2013-01-01,"['scorecore', 'soundtrack']",284719.0,23.0,0.203,0.222,7.0,-17.264,0.0,0.03,0.755,0.89,0.111,0.0673,89.86200000000002,4.0
Jeff Russo,Rainbow Connection,"Legion, Vol. 2 (Original Television Series Soundtrack)",2017-06-09,"['scorecore', 'soundtrack']",88866.0,16.0,0.565,0.303,3.0,-17.262,0.0,0.122,0.922,0.053,0.258,0.269,125.856,4.0
Various Artists,"You Are Gone And I Am Here (frankie's Final Song) - From ""the Magic Strings Of Frankie Presto: The Musical Companion""",The Magic Strings Of Frankie Presto: A Musical Companion,2015-11-06,[],221693.0,2.0,0.575,0.132,10.0,-15.186,1.0,0.0408,0.908,0.0016,0.109,0.385,134.665,3.0
Various Artists,Moon River,The Flash (Music from the Special Episode: Duet),2017-03-22,[],134786.0,47.0,0.29,0.154,10.0,-11.548,1.0,0.033,0.938,0.0,0.118,0.185,65.92399999999999,3.0
A.r. Rahman,Phir Se Ud Chala,Rockstar,2011-10-01,"['desi pop', 'filmi', 'modern bollywood']",268833.0,59.0,0.647,0.6559999999999999,11.0,-8.632,1.0,0.0354,0.657,0.00016299999999999998,0.343,0.453,119.965,4.0
Various Artists,Za Sta Pashan Na Yam,Coke Studio Season 7,2014-11-23,[],367945.0,14.0,0.42,0.94,2.0,-4.996,1.0,0.0623,0.244,0.0934,0.266,0.35700000000000004,105.014,4.0
Koven,Miracle - Club Mix,Hereinafter,2014,"['chillstep', 'edm', 'electro house', 'gaming edm', 'melodic dubstep']",229106.0,23.0,0.5,0.773,9.0,-5.808,0.0,0.117,0.000801,0.000257,0.293,0.11,128.00799999999998,4.0
Above & Beyond,You Got To Go - Seven Lions Remix,You Got To Go (Seven Lions Remix),2012-03-14,"['edm', 'progressive house', 'progressive trance', 'trance', 'uplifting trance']",303455.0,35.0,0.477,0.752,0.0,-6.2970000000000015,0.0,0.0551,0.0411,2.63e-06,0.226,0.138,140.037,4.0
Crystallized Osiris,Kissing Goliath,Kissing Goliath,2020-03-20,[],202109.0,42.0,0.728,0.206,6.0,-27.161,0.0,0.0429,0.498,0.955,0.108,0.5920000000000001,130.0,4.0
Blackfield,Pain - Remastered,Blackfield (Remastered),2004-01-01,"['neo-progressive', 'progressive metal', 'progressive rock', 'symphonic rock']",228178.0,42.0,0.246,0.529,4.0,-8.927,0.0,0.0274,0.000962,0.0008150000000000001,0.122,0.295,79.436,4.0
Boys Like Girls,Hero / Heroine,Boys Like Girls,2007-08-31,"['neo mellow', 'neon pop punk', 'pop punk', 'pop rock', 'post-teen pop']",232240.0,52.0,0.422,0.904,0.0,-4.5310000000000015,1.0,0.102,0.02,4.49e-06,0.6859999999999999,0.32,163.929,4.0
David Hirschfelder,To The Sky,Legend of the Guardians: The Owls of Ga'Hoole (Original Motion Picture Soundtrack),2010-09-21,"['classic soundtrack', 'deep soundtrack', 'oceania soundtrack', 'soundtrack']",219106.0,51.0,0.4970000000000001,0.624,11.0,-9.065,1.0,0.0825,0.261,2.31e-06,0.119,0.925,175.007,4.0
Pokémon,Pokémon Theme,Pokemon - 2.b.a. Master - Music From The Hit Tv Series,1999-06-29,['cartoon'],198186.0,63.0,0.541,0.8540000000000001,7.0,-6.2010000000000005,0.0,0.0464,0.18,0.0,0.14,0.568,144.918,4.0
Blackfield,Summer's Gone - Robin Schulz Remix,Summer's Gone (Robin Schulz Remix),2020-08-07,"['neo-progressive', 'progressive metal', 'progressive rock', 'symphonic rock']",210374.0,47.0,0.5479999999999999,0.906,7.0,-6.388,1.0,0.0398,0.00842,0.000378,0.14,0.172,125.989,4.0
Henry Green,Realign (max Cooper Remix),Realign (Max Cooper Remix),2020-08-12,"['electropop', 'indie soul', 'vapor soul']",293021.0,40.0,0.6890000000000001,0.634,7.0,-9.227,1.0,0.0525,0.109,0.909,0.094,0.209,174.00099999999995,4.0
Susie Suh & Robot Koch,Here With Me,Here with Me,2014-05-19,[],238971.0,57.0,0.5820000000000001,0.375,1.0,-13.277,0.0,0.0329,0.7020000000000001,0.0631,0.136,0.106,129.909,4.0
Frank Ocean,Pink + White,Blonde,2016-08-20,"['alternative r&b', 'hip hop', 'lgbtq+ hip hop', 'neo soul', 'pop']",184516.0,78.0,0.544,0.552,9.0,-7.45,1.0,0.0991,0.67,4.57e-05,0.415,0.5539999999999999,159.738,3.0
Various Artists,Hummingbird,Rhythm & Soul,2018,[],280546.0,48.0,0.53,0.593,0.0,-9.2,0.0,0.0382,0.5329999999999999,4.78e-05,0.0446,0.647,162.335,4.0
Various Artists,You Make Me Cool,COWBOY BEBOP (Original Motion Picture Soundtrack 2 - No Disc),1998-10-21,[],191200.0,37.0,0.5429999999999999,0.32299999999999995,9.0,-8.465,0.0,0.0337,0.461,0.0204,0.0261,0.454,125.262,4.0
Various Artists,Adieu,COWBOY BEBOP (Original Motion Picture Soundtrack 3 - Blue),1999-05-01,[],339933.0,32.0,0.499,0.125,8.0,-15.447,1.0,0.0343,0.935,2.03e-06,0.135,0.135,111.904,4.0
Various Artists,Fantaisie Sign,COWBOY BEBOP (Original Motion Picture Soundtrack 2 - No Disc),1998-10-21,[],319733.0,39.0,0.599,0.92,2.0,-5.956,1.0,0.14,0.34,0.199,0.1,0.706,169.78799999999995,4.0
Various Artists,Green Bird,COWBOY BEBOP (Original Motion Picture Soundtrack 2 - No Disc),1998-10-21,[],114666.0,37.0,0.511,0.11,5.0,-13.899,1.0,0.0333,0.986,1.36e-05,0.121,0.382,125.409,4.0
Various Artists,Call Me Call Me,COWBOY BEBOP (Original Motion Picture Soundtrack 3 - Blue),1999-05-01,[],282933.0,46.0,0.376,0.7340000000000001,5.0,-6.104,0.0,0.0313,0.0006730000000000001,0.00189,0.103,0.353,156.194,4.0
Various Artists,The Real Folk Blues,COWBOY BEBOP Vitaminless,1998-06-03,[],377066.0,52.0,0.364,0.79,6.0,-6.252000000000002,0.0,0.0424,0.000532,0.0022,0.134,0.455,159.94,4.0
Seatbelts,Rain,COWBOY BEBOP (Original Motion Picture Soundtrack),1998-05-21,[],203466.0,48.0,0.485,0.183,10.0,-8.517999999999999,1.0,0.0264,0.586,7.47e-05,0.0826,0.0672,72.02,4.0
Various Artists,Autumn In Ganymade,COWBOY BEBOP (Original Motion Picture Soundtrack 3 - Blue),1999-05-01,[],234840.0,38.0,0.69,0.758,7.0,-9.07,0.0,0.0332,0.000388,0.884,0.0853,0.72,132.988,4.0
Various Artists,The Singing Sea,COWBOY BEBOP (Original Motion Picture Soundtrack 2 - No Disc),1998-10-21,[],280000.0,26.0,0.269,0.189,2.0,-15.37,0.0,0.0311,0.973,0.0676,0.17800000000000002,0.0723,102.985,4.0
Various Artists,Flying Teapot,COWBOY BEBOP (Original Motion Picture Soundtrack 3 - Blue),1999-05-01,[],212840.0,28.0,0.568,0.158,3.0,-12.607,1.0,0.0478,0.964,6.28e-05,0.105,0.474,145.336,4.0
Various Artists,Radio Free Mars Talk 1,COWBOY BEBOP Remixes Music for Freelance,1999-06-02,[],73506.0,14.0,0.614,0.609,8.0,-13.483,1.0,0.952,0.585,0.0,0.472,0.619,89.973,3.0
